# Temperatur/°C     Druck/ mbar
15      43
16      71
17      75
18      83
19      88
20      90
21      102
22      112
25      116
27      123
28      128
29      133
30      134
31      142
34      149
38      169
40      175
41      179
42      185
45      194
47      207
50      218
52      230
54      236
56      250
58      266
60      279
62      292
64      302
66      323
68      342
70      360
72      370
74      390
76      429
78      457
80      509
82      537
84      594
86      628
88      683
90      710
92      751
94      768
96      818
#98     847
#98     880
98      944
#100    851
#100    852
99      958
100     996
100.5   1030
