# Zeit  T2          pa(kalt)    T1          pb(warm)    N
0       20.7        3.8         21.0        3.5         0.0
1       20.6        3.0         21.7        5.0         115
2       19.5        3.2         22.9        5.5         120
3       18.0        3.4         24.4        5.8         122
4       16.6        3.4         25.9        6.0         125
5       15.4        3.4         27.4        6.1         125
6       14.3        3.2         28.9        6.5         122
7       13.3        3.0         30.3        6.9         122
8       12.2        3.0         31.7        7.0         122
9       11.2        2.8         33.0        7.3         122
10      10.3        2.7         34.2        7.8         122
11      9.4         2.6         35.3        8.0         125
12      8.5         2.5         36.5        8.1         125
13      7.6         2.4         37.5        8.5         125
14      6.7         2.4         38.5        8.7         125
15      5.9         2.2         39.5        9.0         115
16      5.0         2.2         41.3        9.2         115
17      4.2         2.2         41.3        9.2         115
18      3.6         2.0         42.1        9.5         115
19      2.9         2.0         42.9        10.0        115
20      2.2         2.0         43.6        10.0        115
21      1.6         1.9         44.4        10.2        115
22      0.9         1.8         45.8        10.5        115
23      0.3         1.8         45.8        10.5        115
24      -0.2        1.7         46.4        10.8        115
25      -0.7        1.7         47.0        11.0        115
26      -1.3        1.7         47.6        11.0        115
27      -1.8        1.6         48.2        11.1        110
28      -2.4        1.6         48.8        11.2        110
29      -2.8        1.6         49.3        11.3        110
30      -3.3        1.5         49.8        11.6        110
31      -3.3        1.5         50.4        12.0        110
