   #U          megaOhm  t0          tauf    fauf    tab     fab
    243.4      2.023    11.12     3.09   0.34      4.78     0.0
    243.4      2.023     27.76    12.86  0.33      5.48     0.16
    242.4      1.992     16.60    5.61   0.08      3.58     0.10
    242.3      1.990     22.24    4.61   0.52      4.17     0.15
    242.2      1.986     23.82    5.85   0.30      4.13     0.06
    199.3      1.980     21.82    5.65   0.23      3.65     0.15
    199.3      1.975     15.08    11.69  0.33      5.26     0.14
    199.2      1.970     32.49    5.16   0.36      3.96     0.17
    199.2      1.967     28.20    1.81   0.05      1.72     0.48
    199.2      1.965     22.83    2.57   0.11      2.48     0.07
    221.4      1.958     17.12    14.63  0.24      5.30     0.10
    221.2      1.951     9.55     6.72   0.20      3.07     0.09
    221.0      1.952     11.41    10.94  0.31      8.08     0.35
    221.0      1.950     22.51    6.77   0.14      4.48     0.13
    220.9      1.949     26.48    4.60   0.05      3.04     0.05
    211.6      1.948     14.08    2.98   0.10      2.22     0.07
    211.6      1.947     25.20    2.45   0.09      2.01     0.01
    211.6      1.947     20.00    3.28   0.14      2.69     0.08
    211.4      1.939     13.95    8.49   0.31      3.81     0.11
    211.4      1.937     27.78    6.73   0.29      4.23     0.08
    230.4      1.934     30.52    1.74   0.10      1.56     0.11
    230.4      1.932     24.72    20.92  1.71      9.65     0.31
    230.3      1.930     7.55     11.69  0.29      3.25     0.10
    230.2      1.930     7.86     8.84   0.30      2.89     0.12
    230.1      1.930     26.74    9.15   0.53      5.48     0.17
