#Z�hlrohrwinkel	Rate bei 35kV
#2*theta/�	R(35kV)/Imp/s

8.0	    40.0
8.3	    42.0
8.8	    39.0
9.2	    34.0
9.6	    38.0
10.0	49.0
10.4	69.0
10.8	95.0
11.2	106.0
11.6	137.0
12.0	143.0
12.4	163.0
12.8	168.0
13.2	181.0
13.6	195.0
14.0	225.0
14.4	236.0
14.8	246.0
15.2	258.0
15.6	268.0
16.0	262.0
16.4	293.0
16.7	288.0
17.2	297.0
17.6	303.0
18.0	317.0
18.4	322.0
18.7	328.0
19.2	326.0
19.6	351.0
20.0	353.0
20.4	359.0
20.7	366.0
21.2	367.0
21.6	388.0
22.0	379.0
22.4	385.0
22.7	356.0
23.2	366.0
23.6	365.0
24.0	344.0
24.4	354.0
24.8	366.0
25.2	363.0
25.6	356.0
26.0	338.0
26.4	330.0
26.8	310.0
27.2	283.0
27.6	267.0
28.0	258.0
28.4	255.0
28.8	252.0
29.2	242.0
29.6	232.0
30.0	242.0
30.4	222.0
30.8	233.0
31.2	232.0
31.6	224.0
32.0	215.0
32.4	205.0
32.8	223.0
33.2	201.0
33.5	196.0
34.0	185.0
34.4	183.0
34.8	189.0
35.2	187.0
35.5	178.0
36.0	177.0
36.4	159.0
36.8	159.0
37.2	151.0
37.5	153.0
38.0	156.0
38.4	139.0
38.8	140.0
39.2	143.0
39.5	155.0
40.0	944.0
40.4	1457.0
40.8	1273.0
41.2	249.0
41.5	199.0
42.0	173.0
42.4	168.0
42.8	162.0
43.2	166.0
43.5	175.0
44.0	225.0
44.4	973.0
44.8	4609.0
45.2	4637.0
45.5	2365.0
46.0	194.0
46.4	138.0
46.8	131.0
47.2	118.0
47.5	103.0
48.0	101.0
48.4	98.0
48.8	94.0
49.2	86.0
49.6	80.0
50.0	68.0
50.4	78.0
50.8	72.0
51.2	76.0
51.6	73.0
52.0	65.0
