# Zeit t        Temperatur t    Strom I

5       -50.7       0.06
6       -48.8       0.15
7       -46.3       0.32
8       -43.1       0.55
9       -41.1       0.80
10      -38.6       1.20
11      -36.6       1.60
17      -24.9       2.80
18      -22.8       2.90
19      -21.0       3.00
20      -19.0       3.10
21      -16.9       3.10
22      -14.7       3.15
23      -12.7       3.15
24      -10.6       3.00
25      -8.6        2.80
26      -6.9        2.15
27      -5.1        1.10
28      -3.4        0.60
29      -1.4        0.45
30      0.4         0.40

