# Zeit t        Temperatur t    Strom I finale korrigierte Werte
0       -65.5       0.00
1       -64.0       0.00
2       -63.5       0.00
3       -61.0       0.00
4       -59.5       0.00
5       -58.0       0.01
6       -56.5       0.01
7       -55.0       0.02
8       -53.5       0.03
9       -52.0       0.06
10      -50.4       0.13
11      -48.5       0.19
12      -47.0       0.28
13      -45.5       0.39
14      -44.0       0.56
15      -42.6       0.93
16      -41.3       1.20
17      -40.0       1.50
18      -38.5       1.95
19      -36.9       2.65
20      -35.4       3.40
21      -33.5       4.20
22      -32.0       4.69
23      -30.8       5.21
24      -29.5       5.75
25      -28.2       6.25
26      -26.7       6.75
27      -25.2       7.15
28      -23.6       7.45
29      -21.9       6.70
30      -20.4       6.60
31      -19.1       7.10
32      -17.6       7.10
33      -16.1       7.00
34      -14.6       6.60
35      -13.0       6.45
36      -11.5       6.40
37      -10.0       6.40
38      -8.6        5.40
39      -7.3        2.50
40      -6.0        1.00
41      -4.5        0.55
42      -3.0        0.36
43      -1.4        0.31
44      0.0         0.29
45      1.1         0.29
46      2.4         0.29
47      3.9         0.31
48      5.4         0.34
49      7.0         0.38
50      8.5         0.42
51      10.0        0.45
52      11.3        0.49
53      12.6        0.54
54      14.1        0.60
55      15.6        0.68
56      17.3        0.80
57      18.8        0.91
58      20.0        1.00
59      20.9        1.05
60      22.4        1.20
61      24.3        1.40
62      26.0        1.70
63      27.4        1.85
64      28.0        1.90
65      29.0        2.05
66      30.5        2.25
67      32.3        2.60
68      33.9        2.80
69      35.1        2.90
70      36.3        3.00
71      37.8        3.10
72      39.3        3.25
73      41.0        3.35
74      42.8        3.30
75      44.3        3.00
76      45.6        2.70
77      47.0        2.40
78      48.5        2.05
79      50.1        1.75
80      51.7        1.50
81      53.2        1.20
82      54.6        1.00
83      56.1        0.85
