# Winkel    I milliWatt
0       0.007
10      0.114
20      0.38
30      0.77
40      1.25
50      1.72
60      2.30
70      2.60
80      2.80
90      2.90
100     2.80
110     2.50
120     2.10
130     1.70
140     1.15
150     0.68
160     0.31
170     0.077
180     0.005
190     0.11
200     0.39
210     0.79
220     1.26
230     1.74
240     2.30
250     2.60
260     2.80
270     2.90
280     2.80
290     2.50
300     2.10
310     1.60
320     1.13
330     0.66
340     0.30
350     0.071
360     0.007
