#aufmit aufFeh abMit abFeh
3.09    0.34    4.78
12.86   0.33    5.48    0.16
5.61    0.08    3.58    0.10
4.61    0.52    4.17    0.15
5.85    0.30    4.13    0.06
5.65    0.23    3.65    0.15
11.69   0.33    5.26    0.14
5.16    0.36    3.96    0.17
1.81    0.05    1.72    0.48
2.57    0.11    2.48    0.07
14.63   0.24    5.30    0.10
6.72    0.20    3.07    0.09
10.94   0.31    8.08    0.35
6.77    0.14    4.48    0.13
4.60    0.05    3.04    0.05
2.98    0.10    2.22    0.07
2.45    0.09    2.01    0.01
3.28    0.14    2.69    0.08
8.49    0.31    3.81    0.11
6.73    0.29    4.23    0.08
1.74    0.10    1.56    0.11
20.92   1.71    9.65    0.31
11.69   0.29    3.25    0.10
8.84    0.30    2.89    0.12
9.15    0.53    5.48    0.17
