#Dicke Zeit N       Nerror A    aerror
0     100   57621   240  575.54 2,37 
100   100   4093    64   40.20  0.61 
125   100   973     31   9.00   0.28 
153   150   1537    39   9.52   0.23 
160   150   897     30   5.25   0.17 
200   200   456     21   1.55   0.08 
253   300   207     14   -0.04  0.02 
302   300   208     14   -0.04  0.02 
338   300   225     15   0.02   0.02 
400   400   280     17   -0.03  0.01 
444   450   593     24   0.59   0.03 
482   450   319     18   -0.02  0.01 
